,University_id,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
628,124083,0,4777,3057,1823,16,33,9844,6198,6540,3600,530,2440,84,92,11.1,24,10207,31
501,123956,1,1910,1380,463,16,64,1715,106,13030,5860,500,750,79,88,14.5,34,10190,84
303,123758,0,2336,1725,1043,10,27,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26
311,123766,1,244,198,82,12,33,1134,336,11700,5300,550,805,71,88,27.8,18,8694,58
497,123952,1,3294,2855,956,44,67,4576,1140,11690,4730,800,6800,84,94,4.6,19,18367,67
162,123617,1,2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81
195,123650,0,1801,1101,438,14,50,3065,363,6297,4600,600,1323,75,78,18.1,14,8355,68
13,123468,1,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68
270,123725,1,3050,1342,471,55,86,1818,23,14360,4090,400,650,77,92,12.9,34,9605,83
200,123655,1,1947,1580,523,39,74,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57
674,124129,0,848,560,377,14,24,1855,1412,5800,3066,500,1500,62,62,14.8,3,5035,48
635,124090,0,3347,2597,1006,10,37,4664,1630,6919,4500,500,1250,74,90,15.0,20,7462,56
324,123779,0,5996,4993,3079,29,57,16269,3757,5925,2980,600,2242,83,87,15.9,11,6741,37
74,123529,1,2362,2037,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83
367,123822,0,2618,2288,1032,42,77,5524,414,8127,3978,900,1200,82,82,17.0,25,7473,65
700,124155,0,14901,10932,4631,36,80,23945,2200,9096,4290,535,1545,93,96,11.5,20,11006,72
356,123811,1,1002,555,119,16,43,836,684,7680,3740,500,800,70,74,17.7,21,6652,52
129,123584,1,457,356,177,35,61,667,1983,11180,5620,600,700,64,64,11.5,32,7477,75
730,124185,1,1190,978,324,12,30,1280,61,8840,3620,500,1200,57,58,16.2,26,6563,63
93,123548,1,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55
582,124037,0,529,481,243,22,47,1206,134,4860,3122,600,650,103,88,17.4,16,6415,43
588,124043,1,1154,951,253,15,31,791,140,11172,4958,700,1350,68,76,11.6,16,9186,60
385,123840,0,2442,2164,1189,12,37,5983,1075,4426,2664,600,1000,76,81,18.1,19,4795,60
567,124022,0,7888,3519,1036,6,40,5011,346,6550,4680,630,1274,82,85,17.8,17,5563,53
395,123850,1,1321,1159,328,15,36,1243,79,12850,6200,550,900,77,82,12.8,36,8536,80
516,123971,1,1183,1016,411,42,82,1922,704,12669,4875,600,1250,83,85,16.8,20,10368,66
241,123696,1,380,237,104,30,56,716,1108,11000,5550,500,500,36,41,7.8,22,7483,96
205,123660,1,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80
251,123706,1,1377,572,178,95,100,654,5,17230,6690,700,900,100,100,8.2,46,21569,100
607,124062,0,6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46
227,123682,1,1886,1524,526,31,67,2523,296,13000,4450,600,2400,78,90,14.7,32,9553,69
